INFO  - 2014-11-29 19:38:10.398; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8576 (1486166363102773248)]} 0 0
INFO  - 2014-11-29 19:38:10.402; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8577 (1486166363105918976)]} 0 1
INFO  - 2014-11-29 19:38:10.405; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8578 (1486166363110113280)]} 0 0
INFO  - 2014-11-29 19:38:10.408; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8579 (1486166363113259008)]} 0 0
INFO  - 2014-11-29 19:38:10.410; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[858 (1486166363115356160)]} 0 0
INFO  - 2014-11-29 19:38:10.418; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8580 (1486166363122696192)]} 0 1
INFO  - 2014-11-29 19:38:10.421; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8581 (1486166363126890496)]} 0 0
INFO  - 2014-11-29 19:38:10.425; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8582 (1486166363130036224)]} 0 1
INFO  - 2014-11-29 19:38:10.427; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8583 (1486166363133181952)]} 0 0
INFO  - 2014-11-29 19:38:10.431; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8584 (1486166363137376256)]} 0 0
INFO  - 2014-11-29 19:38:10.434; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8585 (1486166363140521984)]} 0 0
INFO  - 2014-11-29 19:38:10.440; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8586 (1486166363146813440)]} 0 1
INFO  - 2014-11-29 19:38:10.443; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8587 (1486166363149959168)]} 0 0
INFO  - 2014-11-29 19:38:10.448; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8588 (1486166363155202048)]} 0 0
INFO  - 2014-11-29 19:38:10.451; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8589 (1486166363158347776)]} 0 0
INFO  - 2014-11-29 19:38:10.455; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[859 (1486166363162542080)]} 0 0
INFO  - 2014-11-29 19:38:10.458; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8590 (1486166363165687808)]} 0 0
INFO  - 2014-11-29 19:38:10.461; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8591 (1486166363168833536)]} 0 0
INFO  - 2014-11-29 19:38:10.466; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8592 (1486166363173027840)]} 0 1
INFO  - 2014-11-29 19:38:10.469; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8593 (1486166363177222144)]} 0 0
INFO  - 2014-11-29 19:38:10.472; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8594 (1486166363180367872)]} 0 0
INFO  - 2014-11-29 19:38:10.475; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8595 (1486166363183513600)]} 0 0
INFO  - 2014-11-29 19:38:10.479; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8596 (1486166363187707904)]} 0 0
INFO  - 2014-11-29 19:38:10.485; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8597 (1486166363193999360)]} 0 3
INFO  - 2014-11-29 19:38:10.489; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8598 (1486166363198193664)]} 0 0
INFO  - 2014-11-29 19:38:10.492; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8599 (1486166363201339392)]} 0 0
INFO  - 2014-11-29 19:38:10.496; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[86 (1486166363204485120)]} 0 1
INFO  - 2014-11-29 19:38:10.499; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[860 (1486166363207630848)]} 0 1
INFO  - 2014-11-29 19:38:10.504; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8600 (1486166363213922304)]} 0 0
INFO  - 2014-11-29 19:38:10.507; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8601 (1486166363217068032)]} 0 0
